date,SPY,QQQ,GLD,TIP,BIL
1986-04-03,11.0193,3.2477,36.2,16.5679,28.971
1986-04-04,10.8401,3.2111,36.1725,16.5736,28.9776
1986-04-07,10.8372,3.1897,36.5125,16.5794,28.9841
1986-04-08,11.069,3.2524,36.7012,16.5851,28.9906
1986-04-09,11.0798,3.2551,36.5331,16.5909,28.9971
1986-04-10,11.2073,3.3143,36.5163,16.5967,29.0037
1986-04-11,11.185,3.3339,36.9753,16.6024,29.0102
1986-04-14,11.247,3.3614,36.9369,16.6082,29.0168
1986-04-15,11.2683,3.3831,36.9525,16.614,29.0233
1986-04-16,11.4811,3.4699,36.6546,16.6197,29.0298
1986-04-17,11.5194,3.4734,36.7514,16.6255,29.0364
1986-04-18,11.4886,3.4429,37.059,16.6313,29.0429
1986-04-21,11.6004,3.4617,36.9124,16.637,29.0495
1986-04-22,11.4904,3.4472,37.2038,16.6428,29.056
1986-04-23,11.4586,3.4384,37.4303,16.6486,29.0625
1986-04-24,11.4714,3.4907,37.2729,16.6544,29.0691
1986-04-25,11.4841,3.5039,37.2399,16.6602,29.0756
1986-04-28,11.5215,3.4916,37.0988,16.6659,29.0822
1986-04-29,11.3997,3.4556,37.0226,16.6717,29.0887
1986-04-30,11.1631,3.3826,37.3788,16.6775,29.0953
1986-05-01,11.146,3.3672,37.3079,16.6833,29.1019
1986-05-02,11.1284,3.3847,36.929,16.6727,29.1086
1986-05-05,11.2677,3.4312,37.1068,16.6621,29.1154
1986-05-06,11.2445,3.4309,37.2305,16.6515,29.1222
1986-05-07,11.1895,3.4119,37.0192,16.6409,29.129
1986-05-08,11.2392,3.4316,37.3213,16.6303,29.1358
1986-05-09,11.2733,3.448,37.3315,16.6197,29.1425
1986-05-12,11.2604,3.4444,37.3147,16.6091,29.1493
1986-05-13,11.2049,3.4291,37.152,16.5985,29.1561
1986-05-14,11.2584,3.4281,37.0163,16.588,29.1629
1986-05-15,11.111,3.401,36.9671,16.5774,29.1697
1986-05-16,11.0318,3.3842,37.0747,16.5668,29.1765
1986-05-19,11.0526,3.391,36.8363,16.5563,29.1833
1986-05-20,11.1905,3.4281,36.6088,16.5458,29.1901
1986-05-21,11.1592,3.4375,36.6298,16.5352,29.1969
1986-05-22,11.3805,3.4853,36.7968,16.5247,29.2037
1986-05-23,11.4387,3.4969,36.8665,16.5142,29.2105
1986-05-26,11.4387,3.4969,36.8659,16.5037,29.2173
1986-05-27,11.5998,3.5189,36.9086,16.4932,29.2241
1986-05-28,11.6889,3.5217,37.0431,16.4827,29.2309
1986-05-29,11.7528,3.5286,37.0371,16.4722,29.2377
1986-05-30,11.7229,3.5622,37.0906,16.4617,29.2445
1986-06-02,11.6134,3.5375,36.9442,16.4512,29.2513
1986-06-03,11.6356,3.5392,36.9814,16.468,29.2581
1986-06-04,11.5612,3.5329,36.7701,16.4847,29.2648
1986-06-05,11.6422,3.5446,36.9317,16.5015,29.2716
1986-06-06,11.6431,3.5342,36.9203,16.5183,29.2783
1986-06-09,11.3724,3.4627,36.9359,16.5351,29.2851
1986-06-10,11.3544,3.4516,37.5729,16.5519,29.2918
1986-06-11,11.4278,3.4937,37.5399,16.5688,29.2986
1986-06-12,11.4448,3.5009,37.642,16.5857,29.3053
1986-06-13,11.6457,3.5443,37.4091,16.6026,29.3121
1986-06-16,11.6646,3.5103,36.663,16.6195,29.3189
1986-06-17,11.5802,3.4617,36.3869,16.6364,29.3256
1986-06-18,11.6105,3.4596,36.6456,16.6533,29.3324
1986-06-19,11.5664,3.4771,36.6505,16.6703,29.3392
1986-06-20,11.7332,3.4837,36.6986,16.6872,29.3459
1986-06-23,11.6232,3.483,36.8493,16.7042,29.3527
1986-06-24,11.707,3.5102,36.9513,16.7212,29.3595
1986-06-25,11.797,3.5363,37.075,16.7383,29.3663
1986-06-26,11.788,3.5302,37.1825,16.7553,29.373
1986-06-27,11.8287,3.5279,37.263,16.7724,29.3798
1986-06-30,11.8874,3.5497,37.3272,16.7894,29.3866
1986-07-01,11.9442,3.5652,37.2834,16.8065,29.3934
1986-07-02,11.9755,3.579,36.9804,16.8099,29.3994
1986-07-03,11.9323,3.5911,37.1473,16.8132,29.4054
1986-07-04,11.9322,3.5911,37.1413,16.8166,29.4114
1986-07-07,11.5654,3.4406,37.2542,16.8199,29.4174
1986-07-08,11.4488,3.3453,37.5777,16.8233,29.4234
1986-07-09,11.507,3.3922,37.6041,16.8267,29.4294
1986-07-10,11.516,3.3678,37.4631,16.83,29.4354
1986-07-11,11.4785,3.3364,37.603,16.8334,29.4414
1986-07-14,11.2837,3.2585,37.3485,16.8367,29.4474
1986-07-15,11.0728,3.1923,37.375,16.8401,29.4534
1986-07-16,11.1367,3.2172,37.5472,16.8435,29.4594
1986-07-17,11.1869,3.2405,37.4818,16.8468,29.4655
1986-07-18,11.2006,3.2251,37.5785,16.8502,29.4715
1986-07-21,11.1949,3.2101,38.2314,16.8536,29.4775
1986-07-22,11.2868,3.2173,38.1822,16.8569,29.4835
1986-07-23,11.31,3.2122,37.5066,16.8603,29.4895
1986-07-24,11.2758,3.2145,37.6572,16.8636,29.4955
1986-07-25,11.3833,3.2359,37.7376,16.867,29.5016
1986-07-28,11.1838,3.1757,38.1907,16.8704,29.5076
1986-07-29,11.1146,3.1473,37.9363,16.8737,29.5136
1986-07-30,11.2112,3.1542,37.9789,16.8771,29.5196
1986-07-31,11.1889,3.1582,38.6101,16.8805,29.5257
1986-08-01,11.1315,3.1469,38.9876,16.8839,29.5317
1986-08-04,11.1826,3.1106,38.8574,16.9161,29.5376
1986-08-05,11.2319,3.096,38.7164,16.9484,29.5435
1986-08-06,11.2228,3.0673,39.137,16.9808,29.5494
1986-08-07,11.2323,3.0705,39.0716,17.0133,29.5553
1986-08-08,11.2246,3.1054,39.8269,17.0458,29.5612
1986-08-11,11.4047,3.1741,41.4678,17.0783,29.5671
1986-08-12,11.5307,3.2094,41.8991,17.111,29.573
1986-08-13,11.641,3.2481,41.6015,17.1437,29.5789
1986-08-14,11.6685,3.2734,41.5846,17.1764,29.5848
1986-08-15,11.7111,3.2642,41.584,17.2092,29.5907
1986-08-18,11.7219,3.2532,40.428,17.2421,29.5966
1986-08-19,11.6807,3.2428,40.8161,17.2751,29.6025
1986-08-20,11.8351,3.268,41.1124,17.3081,29.6084
1986-08-21,11.8303,3.2736,41.7056,17.3411,29.6143
1986-08-22,11.8549,3.294,41.705,17.3743,29.6202
1986-08-25,11.7421,3.2714,41.7044,17.4075,29.6261
1986-08-26,11.9804,3.2985,41.1477,17.4407,29.632
1986-08-27,12.0021,3.3174,41.0391,17.474,29.6379
1986-08-28,11.9803,3.3179,41.7511,17.5074,29.6438
1986-08-29,11.9845,3.3103,41.5345,17.5409,29.6498
1986-09-01,11.9845,3.3103,42.295,17.5744,29.6557
1986-09-02,11.7755,3.2588,42.4563,17.5624,29.6614
1986-09-03,11.8494,3.2692,43.7242,17.5505,29.667
1986-09-04,12.027,3.3036,43.5616,17.5385,29.6727
1986-09-05,11.8678,3.2659,45.3423,17.5266,29.6784
1986-09-08,11.7573,3.1978,44.3969,17.5146,29.6841
1986-09-09,11.735,3.1805,44.1804,17.5027,29.6897
1986-09-10,11.7061,3.1582,45.1783,17.4908,29.6954
1986-09-11,11.1431,3.0212,43.3964,17.4789,29.7011
1986-09-12,10.9294,2.9464,45.2848,17.467,29.7068
1986-09-15,10.9895,2.9443,44.6364,17.4551,29.7125
1986-09-16,10.9791,2.9502,45.0406,17.4432,29.7182
1986-09-17,10.9771,2.9759,44.6027,17.4313,29.7239
1986-09-18,11.0069,3.014,45.104,17.4195,29.7295
1986-09-19,11.0022,3.0209,46.4148,17.4076,29.7352
1986-09-22,11.131,3.0573,47.0077,17.3957,29.7409
1986-09-23,11.166,3.0451,46.9531,17.3839,29.7466
1986-09-24,11.1949,3.0379,46.5746,17.3721,29.7523
1986-09-25,10.984,3.0025,46.3472,17.3602,29.758
1986-09-26,11.0029,3.0018,46.735,17.3484,29.7637
1986-09-29,10.8929,2.9571,46.0867,17.3366,29.7694
1986-09-30,10.9597,2.9998,45.6759,17.3248,29.7751
1986-10-01,11.0677,3.0166,45.8695,17.313,29.7808
1986-10-02,11.0828,3.0156,46.5487,17.3195,29.7862
1986-10-03,11.0728,3.0229,47.0553,17.326,29.7917
1986-10-06,11.1235,3.0351,47.1517,17.3325,29.7971
1986-10-07,11.1059,3.0163,47.0538,17.339,29.8026
1986-10-08,11.2134,3.0383,47.2797,17.3455,29.808
1986-10-09,11.1741,3.0361,47.0254,17.3521,29.8135
1986-10-10,11.1565,3.0515,46.4851,17.3586,29.8189
1986-10-13,11.1768,3.069,46.684,17.3651,29.8244
1986-10-14,11.1512,3.0753,46.2732,17.3716,29.8298
1986-10-15,11.3137,3.1,45.5387,17.3781,29.8353
1986-10-16,11.3482,3.0957,45.9157,17.3847,29.8407
1986-10-17,11.3155,3.0803,45.2406,17.3912,29.8462
1986-10-20,11.1795,3.0563,45.8604,17.3977,29.8516
1986-10-21,11.1752,3.0525,45.8704,17.4043,29.8571
1986-10-22,11.1931,3.0607,45.859,17.4108,29.8626
1986-10-23,11.3361,3.101,45.6856,17.4173,29.868
1986-10-24,11.2878,3.0969,44.293,17.4239,29.8735
1986-10-27,11.3119,3.0924,44.2114,17.4304,29.8789
1986-10-28,11.3351,3.1085,44.3132,17.437,29.8844
1986-10-29,11.4146,3.1223,43.7838,17.4435,29.8899
1986-10-30,11.5458,3.1583,43.8587,17.4501,29.8953
1986-10-31,11.5586,3.1517,43.2646,17.4566,29.9008
1986-11-03,11.6447,3.1589,43.825,17.4632,29.9063
1986-11-04,11.6637,3.184,44.0185,17.4704,29.9128
1986-11-05,11.6816,3.1887,43.7212,17.4776,29.9194
1986-11-06,11.6479,3.1719,44.0765,17.4848,29.9259
1986-11-07,11.6432,3.1609,44.0381,17.492,29.9325
1986-11-10,11.6602,3.1475,44.3125,17.4992,29.939
1986-11-11,11.7051,3.1705,43.7994,17.5064,29.9456
1986-11-12,11.6842,3.1755,43.9066,17.5136,29.9521
1986-11-13,11.5127,3.1282,43.9599,17.5208,29.9587
1986-11-14,11.5828,3.1302,44.0401,17.528,29.9652
1986-11-17,11.5216,3.1234,42.3404,17.5352,29.9718
1986-11-18,11.217,3.0681,42.1779,17.5425,29.9784
1986-11-19,11.2586,3.0437,42.4362,17.5497,29.9849
1986-11-20,11.4666,3.0822,41.9987,17.5569,29.9915
1986-11-21,11.647,3.1169,41.874,17.5641,29.9981
1986-11-24,11.7223,3.1516,41.0428,17.5714,30.0046
1986-11-25,11.7563,3.1794,41.3927,17.5786,30.0112
1986-11-26,11.7847,3.2034,41.3759,17.5858,30.0178
1986-11-27,11.7847,3.2034,41.3753,17.5931,30.0243
1986-11-28,11.806,3.2267,41.3638,17.6003,30.0309
1986-12-01,11.7979,3.203,42.6629,17.6076,30.0375
1986-12-02,12.0323,3.2468,42.0097,17.6084,30.0435
1986-12-03,12.0252,3.2733,42.036,17.6091,30.0495
1986-12-04,11.9867,3.2711,41.9815,17.6099,30.0555
1986-12-05,11.8981,3.2506,41.8999,17.6107,30.0615
1986-12-08,11.8976,3.2244,42.0179,17.6115,30.0675
1986-12-09,11.8085,3.203,41.7153,17.6123,30.0735
1986-12-10,11.888,3.205,42.2216,17.6131,30.0795
1986-12-11,11.7558,3.1859,41.8866,17.6138,30.0855
1986-12-12,11.7169,3.1619,42.2203,17.6146,30.0915
1986-12-15,11.7576,3.1421,42.5216,17.6154,30.0975
1986-12-16,11.8443,3.1511,42.3915,17.6162,30.1036
1986-12-17,11.7268,3.1196,42.2723,17.617,30.1096
1986-12-18,11.6898,3.1154,42.1368,17.6178,30.1156
1986-12-19,11.8295,3.1354,42.5729,17.6185,30.1216
1986-12-22,11.783,3.1422,42.5022,17.6193,30.1276
1986-12-23,11.6688,3.1143,41.9678,17.6201,30.1336
1986-12-24,11.6882,3.114,41.9671,17.6209,30.1397
1986-12-25,11.6881,3.114,41.9665,17.6217,30.1457
1986-12-26,11.6962,3.117,41.9658,17.6225,30.1517
1986-12-29,11.5895,3.086,42.0622,17.6232,30.1577
1986-12-30,11.5279,3.0862,41.916,17.624,30.1637
1986-12-31,11.471,3.0836,41.9154,17.6248,30.1698
1987-01-01,11.471,3.0836,41.9147,17.6256,30.1758
1987-01-02,11.6737,3.1153,43.5044,17.6379,30.182
1987-01-05,11.9455,3.2144,43.0132,17.6502,30.1883
1987-01-06,11.9734,3.2504,43.309,17.6625,30.1945
1987-01-07,12.0942,3.3358,43.1682,17.6748,30.2007
1987-01-08,12.187,3.3949,43.4101,17.6871,30.207
1987-01-09,12.2551,3.4233,43.3394,17.6994,30.2132
1987-01-12,12.3295,3.4737,44.3198,17.7117,30.2194
1987-01-13,12.3128,3.4806,44.0927,17.7241,30.2257
1987-01-14,12.4402,3.5468,44.7497,17.7364,30.2319
1987-01-15,12.5751,3.5792,44.873,17.7488,30.2382
1987-01-16,12.6125,3.5436,44.813,17.7611,30.2444
